Structure on Masterlist,Average RFU,StDev,% CV
GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,114.1668,42.51735097,37.24143181
GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,28.8957,2.423374104,8.386625359
GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,70.1102,3.843556359,5.482164306
KDNa2-3Galb1-4GlcNAcb-Sp0,28.339825,31.46480982,111.0268318
Mana-Sp8,255.20775,49.484086,19.389727
Manb-Sp8,425.461675,42.40868162,9.967685485
Mana1-6(Mana1-3)Mana-Sp9,54.613225,15.31223057,28.03758717
Neu5Aca2-6GalNAca-Sp8,76.2827,36.33629138,47.63372478
Neu5Aca2-3Galb1-4Glcb-Sp0,40.67685,26.38121634,64.85560298
Neu5Aca2-3Galb1-4Glcb-Sp8,91.61815,20.67779908,22.56954444
Neu5Aca2-3Galb1-4GlcNAcb-Sp0,36.51005,20.36617937,55.78239243
Neu5Aca2-3Galb1-4GlcNAcb-Sp8,49.626225,18.14827388,36.56992625
Neu5Aca2-6Galb1-4GlcNAcb-Sp0,126.299475,15.45000771,12.23283605
Neu5Aca2-6Galb1-4GlcNAcb-Sp8,77.75455,25.62802591,32.96016235
"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0",41.72775,37.87349834,90.76333697
Neu5Aca2-3GalNAcb1-4GlcNAcb-Sp0,22.11125,16.83200151,76.12415178
Neu5Aca2-6GalNAcb1-4GlcNAcb-Sp0,132.071,34.61722552,26.21107247
Neu5Aca2-8Neu5Aca2-3Galb1-4Glcb-Sp0,53.88895,26.73949178,49.61961919
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,86.793325,20.81122993,23.97791527
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp8,94.168525,12.46653237,13.23853418
Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-4GlcNAcb-Sp0,32.325975,11.54508707,35.71458269
Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,88.1446,17.37679846,19.71396825
Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,83.9308,20.16337036,24.02380337
Neu5Gca2-3Galb1-3GlcNAcb-Sp0,112.431025,32.99167958,29.3439285
Neu5Gca2-3Galb1-4GlcNAcb-Sp0,124.448925,51.85930155,41.67115268
